 42 MO 94         4.7556600000E-10
 42 MO 95         1.5255700000E-08
 42 MO 96         2.6799600000E-08
 42 MO 97         9.0159600000E-09
 42 MO 98         3.0696900000E-08
 42 MO 99         1.6845700000E-15
 42 MO100         2.4310100000E-09
 42 MO101         0.0000000000E+00
 42 MO102         0.0000000000E+00
 43 TC 93         0.0000000000E+00
 43 TC 94         0.0000000000E+00
 43 TC 95         0.0000000000E+00
 43 TC 96         0.0000000000E+00
 43 TC 97         0.0000000000E+00
 43 TC 98         0.0000000000E+00
 43 TC 99         3.7963200000E-09
 43 TC100         0.0000000000E+00
 43 TC101         0.0000000000E+00
 43 TC102         0.0000000000E+00
 43 TC103         0.0000000000E+00
 43 TC104         0.0000000000E+00
 43 TC105         0.0000000000E+00
 44 RU 94         0.0000000000E+00
 44 RU 95         0.0000000000E+00
 44 RU 96         5.4194400000E-12
 44 RU 97         7.9401900000E-19
 44 RU 98         1.0270900000E-11
 44 RU 99         3.8090600000E-10
 44 RU100         1.4564000000E-08
 44 RU101         3.3885600000E-09
 44 RU102         2.1288900000E-08
 44 RU103         1.0299100000E-15
 44 RU104         1.7993300000E-09
 44 RU105         0.0000000000E+00
 44 RU106         0.0000000000E+00
 45 RH 98         0.0000000000E+00
 45 RH 99         0.0000000000E+00
 45 RH100         0.0000000000E+00
 45 RH101         0.0000000000E+00
 45 RH102         0.0000000000E+00
 45 RH103         3.8469500000E-09
 45 RH104         0.0000000000E+00
 45 RH105         0.0000000000E+00
 45 RH106         0.0000000000E+00
 45 RH107         0.0000000000E+00
 45 RH108         0.0000000000E+00
 46 PD 99         0.0000000000E+00
 46 PD100         0.0000000000E+00
 46 PD101         0.0000000000E+00
 46 PD102         3.3181200000E-13
 46 PD103         4.9124600000E-19
 46 PD104         1.0974800000E-08
 46 PD105         3.0668400000E-09
 46 PD106         1.3660700000E-08
 46 PD107         2.7212100000E-09
 46 PD108         1.7142800000E-08
 46 PD109         3.6201600000E-16
 46 PD110         1.7792800000E-09
 46 PD111         0.0000000000E+00
 46 PD112         0.0000000000E+00
 47 AG101         0.0000000000E+00
 47 AG102         0.0000000000E+00
 47 AG103         0.0000000000E+00
 47 AG104         0.0000000000E+00
 47 AG105         0.0000000000E+00
 47 AG106         0.0000000000E+00
 47 AG107         1.3321400000E-11
 47 AG108         2.3844000000E-21
 47 AG109         5.0345000000E-09
 47 AG110         0.0000000000E+00
 47 AG111         0.0000000000E+00
 47 AG112         0.0000000000E+00
 47 AG113         0.0000000000E+00
 48 CD102         0.0000000000E+00
 48 CD103         0.0000000000E+00
 48 CD104         0.0000000000E+00
 48 CD105         0.0000000000E+00
 48 CD106         6.2975400000E-13
 48 CD107         1.0156200000E-20
 48 CD108         3.4493500000E-11
 48 CD109         7.1308900000E-16
 48 CD110         1.4119800000E-08
 48 CD111         5.0453100000E-09
 48 CD112         1.9187900000E-08
 48 CD113         5.6618300000E-09
 48 CD114         2.8381100000E-08
 48 CD115         2.7470700000E-14
 48 CD116         4.8863800000E-09
 48 CD117         0.0000000000E+00
 48 CD118         0.0000000000E+00
 49 IN106         0.0000000000E+00
 49 IN107         0.0000000000E+00
 49 IN108         0.0000000000E+00
 49 IN109         0.0000000000E+00
 49 IN110         0.0000000000E+00
 49 IN111         0.0000000000E+00
 49 IN112         0.0000000000E+00
 49 IN113         6.7295800000E-13
 49 IN114         8.8434700000E-23
 49 IN115         5.6976700000E-09
 49 IN116         0.0000000000E+00
 49 IN117         0.0000000000E+00
 49 IN118         0.0000000000E+00
 49 IN119         0.0000000000E+00
 50 SN108         0.0000000000E+00
 50 SN109         0.0000000000E+00
 50 SN110         0.0000000000E+00
 50 SN111         0.0000000000E+00
 50 SN112         2.2351500000E-12
 50 SN113         1.0084700000E-17
 50 SN114         1.3021200000E-11
 50 SN115         7.1400400000E-12
 50 SN116         3.5260600000E-08
 50 SN117         1.1999500000E-08
 50 SN118         5.8083500000E-08
 50 SN119         1.7623400000E-08
 50 SN120         9.0087500000E-08
 50 SN121         1.8170800000E-15
 50 SN122         1.1475700000E-08
 50 SN123         2.3834600000E-16
 50 SN124         5.0737800000E-10
 50 SN125         0.0000000000E+00
 50 SN126         0.0000000000E+00
 50 SN127         0.0000000000E+00
 50 SN128         0.0000000000E+00
 50 SN129         0.0000000000E+00
 50 SN130         0.0000000000E+00
 51 SB112         0.0000000000E+00
 51 SB113         0.0000000000E+00
 51 SB114         0.0000000000E+00
 51 SB115         0.0000000000E+00
